,control_actions,control_pred,treatment_actions_a,treatment_actions_b,treatment_pred_a,treatment_pred_b
count,17.0,19.0,18.0,17.0,15.0,13.0
mean,90.0,81.57894736842105,127.77777777777777,72.3529411764706,134.0,123.84615384615384
std,33.166247903554,32.87402856946445,31.352935045186957,27.27851988394575,33.123146848433,42.727520705524505
min,30.0,30.0,50.0,30.0,50.0,30.0
25%,70.0,60.0,110.0,50.0,130.0,110.0
50%,90.0,70.0,150.0,70.0,150.0,150.0
75%,110.0,110.0,150.0,90.0,150.0,150.0
max,150.0,150.0,150.0,110.0,170.0,170.0
