,id_1,id_2,cost_1,cost_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_482_4,1,20,110,50,1,1,2,1,90,150,1,2
r_482_5,14,18,30,150,1,2,2,1,220,50,2,1
r_482_6,5,11,90,190,2,2,2,2,200,200,2,2
r_482_7,8,0,70,110,1,2,2,2,180,50,2,2
r_482_8,2,7,190,170,2,2,2,2,200,200,2,2
r_482_9,15,4,30,110,1,2,2,2,220,50,2,2
r_482_10,21,19,190,110,2,2,2,2,200,200,2,2
r_483_0,4,9,90,170,2,2,2,1,200,200,2,1
r_483_1,0,6,70,110,2,2,2,2,200,200,2,2
r_483_2,10,7,130,10,2,2,1,2,200,200,1,2
r_483_3,5,3,130,90,2,2,2,2,200,200,2,2
r_483_4,21,8,30,50,1,1,1,1,170,150,2,2
r_483_5,2,13,90,70,2,1,2,2,50,180,1,1
r_483_6,20,15,50,170,1,2,2,1,200,50,2,1
r_483_7,1,17,130,90,1,1,1,2,70,110,2,1
r_483_8,19,12,190,90,2,2,2,2,200,200,2,2
r_483_9,18,11,150,190,2,2,2,2,200,200,2,2
r_483_10,16,14,90,170,1,2,2,2,160,50,2,2
r_484_0,18,12,70,70,1,2,1,2,180,50,1,2
r_484_1,7,6,70,170,2,2,2,2,200,200,2,2
r_484_2,1,16,50,70,1,1,2,1,150,130,1,2
r_484_3,3,2,110,30,2,1,1,2,50,220,2,1
r_484_4,19,4,30,170,1,2,2,2,220,50,2,2
r_484_5,21,8,30,10,1,1,1,1,170,190,2,2
r_484_6,13,15,130,110,2,2,2,2,200,200,2,2
r_484_7,20,5,130,50,2,2,1,2,200,200,1,2
r_484_8,11,9,170,190,2,2,2,2,200,200,2,2
r_484_9,14,0,150,90,2,2,2,2,200,200,2,2
r_484_10,17,10,50,70,1,1,1,1,150,130,2,2
r_485_0,0,18,70,10,2,1,1,1,50,240,2,2
r_485_1,12,17,30,190,1,2,2,1,220,50,2,1
r_485_2,2,5,30,70,1,2,2,1,220,50,2,1
r_485_3,3,15,130,110,2,2,2,2,200,200,2,2
r_485_4,7,14,10,170,2,2,2,1,200,200,2,1
r_485_5,9,21,170,90,2,1,1,2,50,160,2,1
r_485_6,6,8,30,10,2,1,1,1,50,240,2,2
r_485_7,13,10,110,130,2,2,2,2,200,200,2,2
r_485_8,4,11,90,70,2,2,2,2,200,200,2,2
r_485_9,1,20,70,70,2,1,2,1,50,180,1,2
r_485_10,19,16,90,190,2,2,2,1,200,200,2,1
r_486_0,7,14,190,110,2,2,2,2,200,200,2,2
r_486_1,20,17,50,170,1,2,2,1,200,50,2,1
r_486_2,0,5,50,70,2,2,2,2,200,200,2,2
r_486_3,15,21,150,90,2,1,2,2,50,160,1,1
r_486_4,1,10,30,190,1,2,2,2,220,50,2,2
r_486_5,6,16,130,170,2,2,2,1,200,200,2,1
r_486_6,18,3,10,30,1,1,1,1,190,170,2,2
r_486_7,11,19,70,10,2,1,1,1,50,240,2,2
r_486_8,8,12,10,10,1,1,1,1,190,190,2,2
r_486_9,9,4,130,110,2,2,2,1,200,200,2,1
r_486_10,2,13,170,50,2,1,1,2,50,200,2,1
r_487_0,19,3,70,50,2,2,1,2,200,200,1,2
r_487_1,21,20,70,70,1,1,1,1,130,130,2,2
r_487_2,17,18,10,30,1,1,1,1,190,170,2,2
r_487_3,9,10,30,90,1,1,1,2,170,110,2,1
r_487_4,2,14,130,190,2,2,2,2,200,200,2,2
r_487_5,15,0,70,170,2,2,2,2,200,200,2,2
r_487_6,12,1,50,70,1,2,2,2,200,50,2,2
r_487_7,4,5,130,130,1,2,1,2,120,50,1,2
r_487_8,16,7,70,130,1,2,1,2,180,50,1,2
r_487_9,6,11,30,30,2,1,1,1,50,220,2,2
r_487_10,8,13,90,30,1,1,1,2,110,170,2,1
r_488_0,21,18,30,150,1,2,2,1,220,50,2,1
r_488_1,16,1,70,170,1,2,2,2,180,50,2,2
r_488_2,8,12,110,90,2,2,1,2,200,200,1,2
r_488_3,9,15,110,110,2,2,2,2,200,200,2,2
r_488_4,20,5,30,150,1,2,2,1,220,50,2,1
r_488_5,4,6,50,110,2,2,2,1,200,200,2,1
r_488_6,3,17,190,30,2,1,1,2,50,220,2,1
r_488_7,13,19,30,130,1,2,2,1,220,50,2,1
r_488_8,7,11,150,130,2,2,2,2,200,200,2,2
r_488_9,2,0,10,170,1,2,2,1,240,50,2,1
r_488_10,14,10,150,130,2,2,2,2,200,200,2,2
r_489_0,21,10,90,70,1,1,1,1,110,130,2,2
r_489_1,17,16,70,170,1,2,2,1,180,50,2,1
r_489_2,1,14,30,30,1,1,2,1,170,170,1,2
r_489_3,13,0,90,10,1,1,1,2,110,190,2,1
r_489_4,7,19,70,50,2,1,2,1,50,200,1,2
r_489_5,2,11,170,130,2,2,2,2,200,200,2,2
r_489_6,6,9,150,170,2,2,2,2,200,200,2,2
r_489_7,18,3,130,10,2,1,1,2,50,240,2,1
r_489_8,20,4,90,190,1,2,2,2,160,50,2,2
r_489_9,5,8,110,170,2,2,2,2,200,200,2,2
r_489_10,15,12,130,130,2,2,2,2,200,200,2,2
r_490_0,20,12,150,170,2,2,2,2,200,200,2,2
r_490_1,5,11,30,50,1,1,2,1,170,150,1,2
r_490_2,2,10,70,170,1,2,2,1,180,50,2,1
r_490_3,6,16,170,90,2,1,2,2,50,160,1,1
r_490_4,4,17,150,130,2,2,1,2,200,200,1,2
r_490_5,19,1,50,10,1,1,1,2,150,190,2,1
r_490_6,18,8,110,110,2,2,2,2,200,200,2,2
r_490_7,15,7,70,50,2,2,1,2,200,200,1,2
r_490_8,9,3,70,30,1,1,1,2,130,170,2,1
r_490_9,21,0,30,190,1,2,2,2,220,50,2,2
r_490_10,14,13,170,90,2,1,2,2,50,160,1,1
r_491_0,17,0,190,130,2,2,2,2,200,200,2,2
r_491_1,1,18,70,170,2,2,2,1,200,200,2,1
r_491_2,10,8,70,70,1,1,1,1,130,130,2,2
r_491_3,6,16,190,170,2,2,2,2,200,200,2,2
r_491_4,3,13,90,70,2,1,2,2,50,180,1,1
r_491_5,12,19,150,30,2,1,1,2,50,220,2,1
r_491_6,11,21,110,30,2,1,1,2,50,220,2,1
r_491_7,5,15,70,150,2,2,2,2,200,200,2,2
r_491_8,4,9,150,30,2,1,2,2,50,220,1,1
r_491_9,14,20,90,50,2,1,1,1,50,200,2,2
r_491_10,2,7,30,130,1,2,2,2,220,50,2,2
r_492_0,1,10,130,150,1,2,2,2,120,50,2,2
r_492_1,14,0,130,70,2,2,2,2,200,200,2,2
r_492_2,2,11,30,10,1,1,1,1,170,190,2,2
r_492_3,5,20,70,70,2,1,2,1,50,180,1,2
r_492_4,9,16,90,150,1,2,2,1,160,50,2,1
r_492_5,18,3,90,50,1,2,1,2,160,50,1,2
r_492_6,13,8,30,30,1,1,1,1,170,170,2,2
r_492_7,7,21,70,190,2,2,2,1,200,200,2,1
r_492_8,4,19,30,150,1,2,2,1,220,50,2,1
r_492_9,15,6,90,130,2,2,2,2,200,200,2,2
r_492_10,17,12,150,130,2,2,2,2,200,200,2,2
r_493_0,20,7,130,150,2,2,2,2,200,200,2,2
r_493_1,2,5,170,190,2,2,2,2,200,200,2,2
r_493_2,16,9,110,130,1,2,1,2,140,50,1,2
r_493_3,15,14,50,190,1,2,2,1,200,50,2,1
r_493_4,17,12,30,110,1,2,2,1,220,50,2,1
r_493_5,3,13,150,30,2,1,1,2,50,220,2,1
r_493_6,21,19,70,50,1,1,1,1,130,150,2,2
r_493_7,0,18,90,170,2,2,2,1,200,200,2,1
r_493_8,6,11,50,50,1,1,1,2,150,150,2,1
r_493_9,8,1,190,190,2,2,2,2,200,200,2,2
r_493_10,4,10,30,50,1,1,2,2,170,150,1,1
r_494_0,9,12,10,30,1,1,1,1,190,170,2,2
r_494_1,4,18,150,130,2,2,1,2,200,200,1,2
r_494_2,8,1,50,190,1,2,2,2,200,50,2,2
r_494_3,7,3,10,70,2,2,2,1,200,200,2,1
r_494_4,11,16,150,190,2,2,2,2,200,200,2,2
r_494_5,21,5,190,170,2,2,2,2,200,200,2,2
r_494_6,13,6,90,170,1,2,2,2,160,50,2,2
r_494_7,20,17,170,190,2,2,2,2,200,200,2,2
r_494_8,19,2,170,150,2,2,2,2,200,200,2,2
r_494_9,15,14,30,70,1,2,2,1,220,50,2,1
r_494_10,10,0,170,190,2,2,2,2,200,200,2,2
r_495_0,14,19,30,70,1,2,2,1,220,50,2,1
r_495_1,16,5,190,150,2,2,2,2,200,200,2,2
r_495_2,13,7,90,90,1,2,2,2,160,50,2,2
r_495_3,12,20,10,190,1,2,2,1,240,50,2,1
r_495_4,3,4,190,90,2,2,2,2,200,200,2,2
r_495_5,11,15,70,10,2,1,1,2,50,240,2,1
r_495_6,17,10,190,150,2,2,2,2,200,200,2,2
r_495_7,6,18,170,130,2,2,2,2,200,200,2,2
r_495_8,0,9,30,130,2,2,2,1,200,200,2,1
r_495_9,21,1,170,150,2,2,2,2,200,200,2,2
r_495_10,8,2,10,150,1,2,2,1,240,50,2,1
r_496_0,19,15,50,170,1,2,2,1,200,50,2,1
r_496_1,18,10,10,190,1,2,2,1,240,50,2,1
r_496_2,7,1,50,30,2,1,2,2,50,220,1,1
r_496_3,2,8,170,50,2,1,1,2,50,200,2,1
r_496_4,21,20,30,90,1,1,1,1,170,110,2,2
r_496_5,11,5,70,70,2,2,2,2,200,200,2,2
r_496_6,0,17,190,50,2,1,2,2,50,200,1,1
r_496_7,13,16,110,110,2,1,2,1,50,140,1,2
r_496_8,3,4,130,190,2,2,2,1,200,200,2,1
r_496_9,12,14,10,130,1,2,2,1,240,50,2,1
r_496_10,9,6,130,130,2,2,2,2,200,200,2,2
r_497_0,16,14,150,30,2,1,1,2,50,220,2,1
r_497_1,19,5,170,90,2,2,2,2,200,200,2,2
r_497_2,9,4,70,190,1,2,2,2,180,50,2,2
r_497_3,1,18,90,30,1,1,2,1,110,170,1,2
r_497_4,0,6,110,190,2,2,2,2,200,200,2,2
r_497_5,7,15,130,10,2,1,1,2,50,240,2,1
r_497_6,8,11,110,30,2,1,1,2,50,220,2,1
r_497_7,10,2,150,30,2,1,2,2,50,220,1,1
r_497_8,13,17,50,190,1,2,2,1,200,50,2,1
r_497_9,20,12,130,170,2,2,2,2,200,200,2,2
r_497_10,3,21,10,50,1,1,2,1,190,150,1,2
r_498_0,16,4,10,150,1,2,2,1,240,50,2,1
r_498_1,6,7,190,170,2,2,2,2,200,200,2,2
r_498_2,13,3,90,130,1,2,2,2,160,50,2,2
r_498_3,8,10,10,90,1,1,1,1,190,110,2,2
r_498_4,15,12,110,30,2,1,1,2,50,220,2,1
r_498_5,0,11,130,30,2,1,2,2,50,220,1,1
r_498_6,19,20,30,50,1,1,1,1,170,150,2,2
r_498_7,17,9,30,10,1,1,1,1,170,190,2,2
r_498_8,5,2,110,70,2,1,2,2,50,180,1,1
r_498_9,1,18,50,170,1,2,2,1,200,50,2,1
r_498_10,14,21,170,110,2,1,2,2,50,140,1,1
r_499_0,9,13,190,90,2,1,1,2,50,160,2,1
r_499_1,10,4,50,110,1,2,2,2,200,50,2,2
r_499_2,18,16,190,150,2,2,2,2,200,200,2,2
r_499_3,7,1,50,170,2,2,2,2,200,200,2,2
r_499_4,11,14,30,150,1,2,2,1,220,50,2,1
r_499_5,15,19,30,30,1,1,1,1,170,170,2,2
r_499_6,6,21,170,110,2,1,2,2,50,140,1,1
r_499_7,5,0,170,150,2,2,2,2,200,200,2,2
r_499_8,3,17,90,90,2,1,2,2,50,160,1,1
r_499_9,2,8,70,10,1,1,1,1,130,190,2,2
r_499_10,20,12,70,150,1,2,2,2,180,50,2,2
r_500_0,13,5,70,10,1,1,1,2,130,190,2,1
r_500_1,3,8,50,30,2,1,1,1,50,220,2,2
r_500_2,12,7,150,90,2,2,2,2,200,200,2,2
r_500_3,14,18,190,190,2,2,2,2,200,200,2,2
r_500_4,19,10,90,70,2,1,1,1,50,180,2,2
r_500_5,1,9,130,90,1,1,1,2,70,110,2,1
r_500_6,6,20,10,30,2,1,1,1,50,220,2,2
r_500_7,0,11,10,110,1,2,2,1,240,50,2,1
r_500_8,21,2,150,50,2,1,1,2,50,200,2,1
r_500_9,15,17,130,10,2,1,1,2,50,240,2,1
r_500_10,16,4,130,190,1,2,2,1,120,50,2,1
r_501_0,10,18,90,70,1,1,1,1,110,130,2,2
r_501_1,11,5,170,70,2,2,2,2,200,200,2,2
r_501_2,14,19,70,30,2,1,1,1,50,220,2,2
r_501_3,4,7,150,50,2,2,2,2,200,200,2,2
r_501_4,16,0,170,50,2,2,1,2,200,200,1,2
r_501_5,21,8,50,50,1,1,1,1,150,150,2,2
r_501_6,6,2,50,10,1,1,1,1,150,190,2,2
r_501_7,17,13,130,90,2,1,2,2,50,160,1,1
r_501_8,9,3,50,190,1,2,2,2,200,50,2,2
r_501_9,20,12,170,150,2,2,2,2,200,200,2,2
r_501_10,15,1,190,130,2,1,2,2,50,120,1,1
r_502_0,2,13,130,130,2,2,2,2,200,200,2,2
r_502_1,18,9,190,150,2,2,2,2,200,200,2,2
r_502_2,15,17,30,110,1,2,2,1,220,50,2,1
r_502_3,16,5,170,130,2,2,1,2,200,200,1,2
r_502_4,6,0,10,70,2,2,2,1,200,200,2,1
r_502_5,19,8,150,90,2,1,2,2,50,160,1,1
r_502_6,12,10,90,10,2,1,1,1,50,240,2,2
r_502_7,20,1,10,50,1,1,1,2,190,150,2,1
r_502_8,3,21,70,130,2,2,2,1,200,200,2,1
r_502_9,4,7,190,130,2,2,1,2,200,200,1,2
r_502_10,11,14,10,70,1,2,2,1,240,50,2,1
r_503_0,0,8,70,190,2,2,2,1,200,200,2,1
r_503_1,7,10,50,90,2,1,2,1,50,160,1,2
r_503_2,19,5,190,110,2,2,2,2,200,200,2,2
r_503_3,13,1,150,70,2,2,1,2,200,200,1,2
r_503_4,18,6,150,10,2,2,1,2,200,200,1,2
r_503_5,12,11,50,90,1,2,2,2,200,50,2,2
r_503_6,21,3,90,10,1,1,1,2,110,190,2,1
r_503_7,4,16,30,150,1,2,2,1,220,50,2,1
r_503_8,17,15,90,130,1,2,2,2,160,50,2,2
r_503_9,2,14,110,10,2,1,1,2,50,240,2,1
r_503_10,20,9,170,190,2,2,2,2,200,200,2,2
r_504_0,15,1,110,30,2,1,1,1,50,220,2,2
r_504_1,10,11,90,10,1,1,1,2,110,190,2,1
r_504_2,4,5,130,30,1,1,2,2,70,170,1,1
r_504_3,21,16,10,30,1,1,1,1,190,170,2,2
r_504_4,8,2,50,130,1,2,2,1,200,50,2,1
r_504_5,9,19,30,10,1,1,1,1,170,190,2,2
r_504_6,3,12,110,90,2,2,2,2,200,200,2,2
r_504_7,17,20,90,90,1,1,2,1,110,110,1,2
r_504_8,13,18,150,10,2,1,1,2,50,240,2,1
r_504_9,0,7,50,130,2,2,2,2,200,200,2,2
r_504_10,14,6,50,130,1,2,2,1,200,50,2,1
r_505_0,13,3,50,30,1,1,1,2,150,170,2,1
r_505_1,18,21,50,50,1,1,1,1,150,150,2,2
r_505_2,15,12,170,130,2,2,2,2,200,200,2,2
r_505_3,1,0,190,170,2,2,2,2,200,200,2,2
r_505_4,17,16,70,130,1,1,2,1,130,70,1,2
r_505_5,8,7,130,130,2,2,2,2,200,200,2,2
r_505_6,6,11,150,10,2,1,1,2,50,240,2,1
r_505_7,20,2,70,170,1,2,2,2,180,50,2,2
r_505_8,5,4,50,90,2,2,2,2,200,200,2,2
r_505_9,14,9,10,50,1,1,1,1,190,150,2,2
r_505_10,10,19,70,110,1,2,2,1,180,50,2,1
r_506_0,6,21,190,130,2,2,2,2,200,200,2,2
r_506_1,9,16,10,10,1,1,1,1,190,190,2,2
r_506_2,18,4,70,150,1,2,2,2,180,50,2,2
r_506_3,3,15,150,110,2,2,2,2,200,200,2,2
r_506_4,5,13,150,170,2,2,2,2,200,200,2,2
r_506_5,8,7,170,110,2,2,2,2,200,200,2,2
r_506_6,11,2,110,70,2,1,2,2,50,180,1,1
r_506_7,1,19,10,30,1,1,2,1,190,170,1,2
r_506_8,14,10,90,30,2,2,1,1,200,200,1,1
r_506_9,12,20,10,70,1,1,2,1,190,130,1,2
r_506_10,17,0,190,190,2,2,2,2,200,200,2,2
r_507_0,1,11,70,90,2,2,1,2,200,200,1,2
r_507_1,13,3,130,130,2,2,2,2,200,200,2,2
r_507_2,18,7,130,110,2,2,2,2,200,200,2,2
r_507_3,4,8,130,110,1,2,2,2,120,50,2,2
r_507_4,6,17,150,150,2,2,2,2,200,200,2,2
r_507_5,21,19,90,110,1,2,2,2,160,50,2,2
r_507_6,16,20,10,90,1,1,1,1,190,110,2,2
r_507_7,15,14,150,50,2,1,1,2,50,200,2,1
r_507_8,0,5,130,50,2,2,2,2,200,200,2,2
r_507_9,9,10,30,110,1,2,2,2,220,50,2,2
r_507_10,12,2,90,90,2,2,2,2,200,200,2,2
r_508_0,2,17,70,150,1,2,2,1,180,50,2,1
r_508_1,11,18,50,50,1,1,2,1,150,150,1,2
r_508_2,5,7,190,10,2,2,1,2,200,200,1,2
r_508_3,1,8,150,50,2,1,2,2,50,200,1,1
r_508_4,14,16,170,170,2,2,2,2,200,200,2,2
r_508_5,15,4,130,110,2,2,2,1,200,200,2,1
r_508_6,13,19,170,30,2,1,1,2,50,220,2,1
r_508_7,21,9,30,70,1,1,1,1,170,130,2,2
r_508_8,20,12,110,130,1,2,2,2,140,50,2,2
r_508_9,6,0,190,150,2,2,2,2,200,200,2,2
r_508_10,10,3,10,90,1,2,1,1,240,50,1,1
r_509_0,2,21,70,70,1,1,2,1,130,130,1,2
r_509_1,19,0,150,130,2,2,2,2,200,200,2,2
r_509_2,1,12,10,70,1,2,2,1,240,50,2,1
r_509_3,9,5,170,90,2,2,1,2,200,200,1,2
r_509_4,17,16,190,110,2,1,2,2,50,140,1,1
r_509_5,14,3,130,30,2,1,1,2,50,220,2,1
r_509_6,15,6,110,50,2,1,1,2,50,200,2,1
r_509_7,7,18,150,170,2,2,2,2,200,200,2,2
r_509_8,4,13,90,190,2,2,2,2,200,200,2,2
r_509_9,10,20,90,150,1,2,2,1,160,50,2,1
r_509_10,11,8,150,130,2,2,2,2,200,200,2,2
r_510_0,20,4,170,30,2,1,1,2,50,220,2,1
r_510_1,19,9,170,190,2,2,2,2,200,200,2,2
r_510_2,7,3,90,50,2,2,2,2,200,200,2,2
r_510_3,12,10,50,90,1,1,2,1,150,110,1,2
r_510_4,8,18,110,10,2,1,1,2,50,240,2,1
r_510_5,15,21,110,10,2,1,1,2,50,240,2,1
r_510_6,2,11,110,190,2,2,2,2,200,200,2,2
r_510_7,16,17,50,50,1,1,1,1,150,150,2,2
r_510_8,0,13,170,30,2,1,2,2,50,220,1,1
r_510_9,5,6,10,190,1,2,2,1,240,50,2,1
r_510_10,14,1,90,50,2,1,1,1,50,200,2,2
r_511_0,18,4,170,30,2,1,1,2,50,220,2,1
r_511_1,8,5,190,90,2,2,1,2,200,200,1,2
r_511_2,10,0,30,110,2,2,2,2,200,200,2,2
r_511_3,21,17,30,70,1,1,1,1,170,130,2,2
r_511_4,15,13,10,190,1,2,2,1,240,50,2,1
r_511_5,6,19,110,170,2,2,2,2,200,200,2,2
r_511_6,3,20,190,70,2,1,2,2,50,180,1,1
r_511_7,7,12,50,30,2,1,2,1,50,220,1,2
r_511_8,1,9,190,150,2,2,2,2,200,200,2,2
r_511_9,16,11,70,50,1,1,1,2,130,150,2,1
r_511_10,14,2,190,10,2,1,1,2,50,240,2,1
r_512_0,0,9,150,110,2,2,2,2,200,200,2,2
r_512_1,3,5,170,50,2,2,2,2,200,200,2,2
r_512_2,11,4,30,90,1,2,2,2,220,50,2,2
r_512_3,8,21,10,50,1,1,1,1,190,150,2,2
r_512_4,15,1,90,190,2,2,2,1,200,200,2,1
r_512_5,13,12,50,170,1,2,2,1,200,50,2,1
r_512_6,20,7,30,190,1,2,2,2,220,50,2,2
r_512_7,17,6,150,130,2,2,2,2,200,200,2,2
r_512_8,10,2,110,150,2,2,2,2,200,200,2,2
r_512_9,14,16,170,30,2,1,1,2,50,220,2,1
r_512_10,18,19,190,30,2,1,1,2,50,220,2,1
r_513_0,18,13,150,110,2,2,2,2,200,200,2,2
r_513_1,2,20,70,70,1,1,2,1,130,130,1,2
r_513_2,16,9,110,10,1,1,1,2,90,190,2,1
r_513_3,10,0,170,90,2,2,1,2,200,200,1,2
r_513_4,4,1,190,190,2,2,2,2,200,200,2,2
r_513_5,7,8,170,130,2,2,2,2,200,200,2,2
r_513_6,15,21,10,30,1,1,1,1,190,170,2,2
r_513_7,17,5,130,150,2,2,2,2,200,200,2,2
r_513_8,19,6,150,190,2,2,2,2,200,200,2,2
r_513_9,12,14,30,110,1,2,2,1,220,50,2,1
r_513_10,11,3,50,50,1,2,2,2,200,50,2,2
r_514_0,15,16,130,70,2,1,2,1,50,180,1,2
r_514_1,14,2,150,150,2,2,2,2,200,200,2,2
r_514_2,6,9,150,130,2,2,2,2,200,200,2,2
r_514_3,0,11,50,110,2,2,2,2,200,200,2,2
r_514_4,3,8,90,190,2,2,2,1,200,200,2,1
r_514_5,19,17,70,130,2,2,2,1,200,200,2,1
r_514_6,20,10,50,190,1,2,2,1,200,50,2,1
r_514_7,5,12,50,90,2,2,2,1,200,200,2,1
r_514_8,1,18,110,190,1,2,2,2,140,50,2,2
r_514_9,21,4,110,70,1,2,1,2,140,50,1,2
r_514_10,7,13,150,150,2,2,2,2,200,200,2,2
r_515_0,6,18,110,170,2,2,2,2,200,200,2,2
r_515_1,13,20,10,170,1,2,2,1,240,50,2,1
r_515_2,2,14,50,50,1,1,1,1,150,150,2,2
r_515_3,11,12,130,130,2,2,2,2,200,200,2,2
r_515_4,17,21,70,190,1,2,2,1,180,50,2,1
r_515_5,1,8,10,90,1,1,1,1,190,110,2,2
r_515_6,5,19,130,190,2,2,2,2,200,200,2,2
r_515_7,10,0,90,30,1,2,2,2,160,50,2,2
r_515_8,16,7,50,10,1,2,1,2,200,50,1,2
r_515_9,4,3,170,110,2,2,2,2,200,200,2,2
r_515_10,9,15,70,110,1,2,2,2,180,50,2,2
r_516_0,11,0,70,110,2,2,2,2,200,200,2,2
r_516_1,21,14,70,170,1,2,2,2,180,50,2,2
r_516_2,2,9,50,150,1,2,2,1,200,50,2,1
r_516_3,13,18,30,50,1,1,1,1,170,150,2,2
r_516_4,5,20,90,70,2,1,2,1,50,180,1,2
r_516_5,19,6,190,110,2,2,2,2,200,200,2,2
r_516_6,10,7,10,50,1,2,1,1,240,50,1,1
r_516_7,16,17,70,130,1,2,1,1,180,50,1,1
r_516_8,4,3,50,10,2,1,1,2,50,240,2,1
r_516_9,15,12,10,30,1,1,1,1,190,170,2,2
r_516_10,1,8,130,110,1,2,1,2,120,50,1,2
r_517_0,21,16,190,170,2,2,2,2,200,200,2,2
r_517_1,5,9,150,170,2,2,2,2,200,200,2,2
r_517_2,2,13,70,190,1,2,2,1,180,50,2,1
r_517_3,18,3,50,190,1,2,2,2,200,50,2,2
r_517_4,7,17,150,90,2,1,2,2,50,160,1,1
r_517_5,20,11,190,90,2,2,1,2,200,200,1,2
r_517_6,4,14,130,10,1,1,1,2,70,190,2,1
r_517_7,19,12,110,50,2,1,1,2,50,200,2,1
r_517_8,6,8,50,170,1,2,2,1,200,50,2,1
r_517_9,15,10,170,90,2,1,2,2,50,160,1,1
r_517_10,1,0,10,150,1,2,2,1,240,50,2,1
r_518_0,13,20,10,190,1,2,2,1,240,50,2,1
r_518_1,17,2,110,110,2,2,2,2,200,200,2,2
r_518_2,4,16,190,190,2,2,2,2,200,200,2,2
r_518_3,8,5,170,90,2,2,1,2,200,200,1,2
r_518_4,14,7,190,70,2,2,2,2,200,200,2,2
r_518_5,11,12,90,10,2,1,1,2,50,240,2,1
r_518_6,10,15,30,190,2,2,2,1,200,200,2,1
r_518_7,0,18,30,10,2,1,1,1,50,240,2,2
r_518_8,21,9,110,50,1,1,1,2,90,150,2,1
r_518_9,19,6,150,110,2,2,2,2,200,200,2,2
r_518_10,3,1,30,130,1,1,2,2,170,70,1,1
r_519_0,15,13,90,130,2,2,2,2,200,200,2,2
r_519_1,5,18,70,130,2,2,2,1,200,200,2,1
r_519_2,19,8,110,130,2,2,2,2,200,200,2,2
r_519_3,6,7,70,30,2,1,1,2,50,220,2,1
r_519_4,14,17,50,10,1,1,1,1,150,190,2,2
r_519_5,9,3,170,150,2,2,2,2,200,200,2,2
r_519_6,4,20,50,150,2,2,2,1,200,200,2,1
r_519_7,0,16,190,50,2,1,2,2,50,200,1,1
r_519_8,10,12,130,90,2,2,1,2,200,200,1,2
r_519_9,11,21,10,10,1,1,1,1,190,190,2,2
r_519_10,2,1,130,70,2,2,2,1,200,200,2,1
r_520_0,8,12,90,70,1,2,1,2,160,50,1,2
r_520_1,14,19,50,150,1,2,2,1,200,50,2,1
r_520_2,20,16,190,50,2,1,1,2,50,200,2,1
r_520_3,7,13,150,90,2,1,2,2,50,160,1,1
r_520_4,2,1,170,170,2,2,2,2,200,200,2,2
r_520_5,17,6,110,150,2,2,2,2,200,200,2,2
r_520_6,21,4,50,90,1,2,1,2,200,50,1,2
r_520_7,9,18,190,110,2,2,2,2,200,200,2,2
r_520_8,5,0,170,10,2,1,1,2,50,240,2,1
r_520_9,3,11,130,170,2,2,2,2,200,200,2,2
r_520_10,15,10,30,90,1,1,2,2,170,110,1,1
r_521_0,14,13,70,30,2,1,1,1,50,220,2,2
r_521_1,11,2,110,190,2,2,2,2,200,200,2,2
r_521_2,12,18,70,30,2,1,1,1,50,220,2,2
r_521_3,20,16,10,30,1,1,1,1,190,170,2,2
r_521_4,3,6,10,10,1,2,1,1,240,50,1,1
r_521_5,4,21,190,10,2,1,1,2,50,240,2,1
r_521_6,5,8,70,10,2,1,1,1,50,240,2,2
r_521_7,9,17,150,190,2,2,2,2,200,200,2,2
r_521_8,19,7,70,50,2,2,1,2,200,200,1,2
r_521_9,0,1,190,90,2,1,2,2,50,160,1,1
r_521_10,15,10,10,130,1,2,2,1,240,50,2,1
r_522_0,1,21,10,10,1,1,2,1,190,190,1,2
r_522_1,12,19,110,30,2,1,1,2,50,220,2,1
r_522_2,6,16,150,150,2,2,2,2,200,200,2,2
r_522_3,17,15,190,70,2,2,1,2,200,200,1,2
r_522_4,13,18,170,50,2,1,1,2,50,200,2,1
r_522_5,11,9,150,150,2,2,2,2,200,200,2,2
r_522_6,14,20,50,170,1,2,2,1,200,50,2,1
r_522_7,7,2,110,30,2,1,2,2,50,220,1,1
r_522_8,3,8,190,110,2,2,2,2,200,200,2,2
r_522_9,0,4,50,50,2,2,2,2,200,200,2,2
r_522_10,5,10,70,10,2,1,1,1,50,240,2,2
r_523_0,20,2,110,10,1,1,1,2,90,190,2,1
r_523_1,15,5,50,90,1,2,2,2,200,50,2,2
r_523_2,7,18,10,170,2,2,2,1,200,200,2,1
r_523_3,21,16,10,130,1,1,2,1,190,70,1,2
r_523_4,14,0,150,10,2,1,1,2,50,240,2,1
r_523_5,13,1,30,170,1,2,2,2,220,50,2,2
r_523_6,12,8,90,190,2,2,2,1,200,200,2,1
r_523_7,10,9,190,70,2,1,1,2,50,180,2,1
r_523_8,4,19,130,70,1,2,2,2,120,50,2,2
r_523_9,6,17,110,30,2,1,1,2,50,220,2,1
r_523_10,3,11,170,10,2,1,1,2,50,240,2,1
r_524_0,20,5,130,10,2,1,1,2,50,240,2,1
r_524_1,11,14,10,130,1,2,2,1,240,50,2,1
r_524_2,8,4,170,190,2,2,2,2,200,200,2,2
r_524_3,17,19,30,150,1,2,2,1,220,50,2,1
r_524_4,10,7,190,110,2,2,2,2,200,200,2,2
r_524_5,3,13,150,30,2,1,1,2,50,220,2,1
