,id_1,id_2,cost_1,cost_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_9_5,10,2,130,190,2,2,2,2,200,200,2,2
r_9_6,1,15,10,110,1,2,1,1,240,50,1,1
r_9_7,17,21,170,170,2,2,2,2,200,200,2,2
r_9_8,9,5,70,110,1,2,2,2,180,50,2,2
r_9_9,0,8,50,170,2,2,2,1,200,200,2,1
r_9_10,19,18,10,110,1,2,2,1,240,50,2,1
r_10_0,17,1,170,150,2,2,2,2,200,200,2,2
r_10_1,18,10,30,130,1,2,2,2,220,50,2,2
r_10_2,16,6,10,150,1,2,2,1,240,50,2,1
r_10_3,12,4,170,170,2,2,2,2,200,200,2,2
r_10_4,11,14,50,110,1,2,2,1,200,50,2,1
r_10_5,8,13,10,150,1,2,2,1,240,50,2,1
r_10_6,9,21,110,30,2,1,1,2,50,220,2,1
r_10_7,19,7,90,30,2,1,1,2,50,220,2,1
r_10_8,3,15,170,10,2,1,1,2,50,240,2,1
r_10_9,20,2,110,50,1,1,1,2,90,150,2,1
r_10_10,5,0,110,50,2,2,2,2,200,200,2,2
r_11_0,10,4,110,10,2,1,1,2,50,240,2,1
r_11_1,13,2,50,70,1,1,1,1,150,130,2,2
r_11_2,15,7,90,30,2,1,1,2,50,220,2,1
r_11_3,12,16,90,10,2,1,1,1,50,240,2,2
r_11_4,18,17,130,30,2,1,1,2,50,220,2,1
r_11_5,8,11,110,170,2,2,2,2,200,200,2,2
r_11_6,3,6,190,10,2,2,1,2,200,200,1,2
r_11_7,9,5,30,130,1,2,2,1,220,50,2,1
r_11_8,0,1,170,10,2,1,1,2,50,240,2,1
r_11_9,19,20,10,10,1,1,1,1,190,190,2,2
r_11_10,14,21,90,50,2,1,1,1,50,200,2,2
r_12_0,12,8,10,30,1,1,1,1,190,170,2,2
r_12_1,14,7,30,150,1,2,2,2,220,50,2,2
r_12_2,1,20,30,130,1,2,1,1,220,50,1,1
r_12_3,4,13,10,190,1,2,2,1,240,50,2,1
r_12_4,18,0,50,70,1,2,1,2,200,50,1,2
r_12_5,9,10,170,130,2,2,2,2,200,200,2,2
r_12_6,21,16,190,70,2,1,1,2,50,180,2,1
r_12_7,11,2,90,110,2,2,2,2,200,200,2,2
r_12_8,6,3,130,130,2,2,2,2,200,200,2,2
r_12_9,19,17,110,110,2,2,2,2,200,200,2,2
r_12_10,5,15,110,90,2,2,2,2,200,200,2,2
r_13_0,14,18,70,190,2,2,2,1,200,200,2,1
r_13_1,6,11,10,110,2,2,2,1,200,200,2,1
r_13_2,17,9,170,130,2,2,2,2,200,200,2,2
r_13_3,3,20,30,110,1,1,2,1,170,90,1,2
r_13_4,12,1,30,110,1,1,2,2,170,90,1,1
r_13_5,7,21,190,30,2,1,2,2,50,220,1,1
r_13_6,13,16,150,190,2,2,2,2,200,200,2,2
r_13_7,10,19,10,170,1,2,2,1,240,50,2,1
r_13_8,2,15,70,170,1,2,2,2,180,50,2,2
r_13_9,0,8,70,170,2,2,2,1,200,200,2,1
r_13_10,4,5,150,110,2,2,2,2,200,200,2,2
r_14_0,10,1,150,150,2,2,2,2,200,200,2,2
r_14_1,9,21,30,10,1,1,1,1,170,190,2,2
r_14_2,20,19,190,150,2,2,2,2,200,200,2,2
r_14_3,16,8,70,110,1,2,1,1,180,50,1,1
r_14_4,11,4,130,50,2,2,2,1,200,200,2,1
r_14_5,12,6,110,30,2,2,1,2,200,200,1,2
r_14_6,5,7,190,70,2,2,2,2,200,200,2,2
r_14_7,2,15,170,110,2,2,2,2,200,200,2,2
r_14_8,13,3,190,170,2,2,2,2,200,200,2,2
r_14_9,0,14,90,150,2,2,2,2,200,200,2,2
r_14_10,17,18,130,30,2,1,1,2,50,220,2,1
r_15_0,6,4,110,70,2,2,2,2,200,200,2,2
r_15_1,19,17,90,90,2,1,2,2,50,160,1,1
r_15_2,16,21,90,30,1,1,1,1,110,170,2,2
r_15_3,9,15,30,130,1,2,2,1,220,50,2,1
r_15_4,5,7,190,10,2,2,1,2,200,200,1,2
r_15_5,0,12,30,90,2,2,2,1,200,200,2,1
r_15_6,1,8,30,130,1,2,1,1,220,50,1,1
r_15_7,11,13,110,150,2,2,2,2,200,200,2,2
r_15_8,3,10,70,70,2,1,2,1,50,180,1,2
r_15_9,18,20,110,150,2,2,2,1,200,200,2,1
r_15_10,2,14,70,130,1,2,2,2,180,50,2,2
r_16_0,9,14,130,10,2,1,1,2,50,240,2,1
r_16_1,1,13,150,170,2,2,2,2,200,200,2,2
r_16_2,3,19,150,170,2,2,2,2,200,200,2,2
r_16_3,0,2,170,30,2,1,2,2,50,220,1,1
r_16_4,20,15,110,70,1,2,1,2,140,50,1,2
r_16_5,10,5,130,110,2,2,2,2,200,200,2,2
r_16_6,11,12,50,10,1,1,1,1,150,190,2,2
r_16_7,16,4,30,170,1,2,2,2,220,50,2,2
r_16_8,7,17,70,170,2,2,2,1,200,200,2,1
r_16_9,21,8,50,170,1,2,2,1,200,50,2,1
r_16_10,18,6,130,70,2,2,1,2,200,200,1,2
r_17_0,15,10,50,50,1,1,1,1,150,150,2,2
r_17_1,16,21,50,170,1,2,2,1,200,50,2,1
r_17_2,13,17,150,190,2,2,2,2,200,200,2,2
r_17_3,4,9,30,70,1,1,2,1,170,130,1,2
r_17_4,11,3,130,150,2,2,2,2,200,200,2,2
r_17_5,1,14,90,150,1,2,2,2,160,50,2,2
r_17_6,19,0,130,10,2,1,1,2,50,240,2,1
r_17_7,2,20,110,30,2,1,1,1,50,220,2,2
r_17_8,12,5,130,70,2,2,2,2,200,200,2,2
r_17_9,18,7,50,170,1,2,2,2,200,50,2,2
r_17_10,8,6,150,190,2,2,2,2,200,200,2,2
r_18_0,16,17,110,50,1,1,1,2,90,150,2,1
r_18_1,2,18,150,170,2,2,2,2,200,200,2,2
