,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_8_3,9,21,50,50,2,2,2,2,1,2,200,200,1,2
r_8_4,1,20,90,190,2,2,2,2,2,2,200,200,2,2
r_8_5,11,3,30,170,1,2,2,2,2,1,200,200,2,1
r_8_6,13,7,130,90,2,2,2,2,1,1,200,200,1,1
r_8_7,16,8,190,10,2,1,2,1,1,2,50,240,2,2
r_8_8,10,0,130,170,2,2,2,2,2,2,200,200,2,2
r_8_9,14,19,170,10,2,1,2,2,2,2,200,200,2,2
r_8_10,17,4,190,170,2,2,2,2,2,2,200,200,2,2
r_9_0,17,21,10,190,1,2,1,2,2,2,240,50,2,1
r_9_1,8,10,190,150,2,2,2,2,2,2,200,200,2,2
r_9_2,5,15,50,130,1,1,1,1,1,1,150,70,2,2
r_9_3,14,16,90,110,2,2,2,2,2,2,200,200,2,2
r_9_4,4,12,150,70,2,2,2,1,1,2,50,180,2,2
r_9_5,0,11,130,90,2,1,2,2,2,2,200,200,2,2
r_9_6,9,1,130,190,2,2,2,2,2,2,200,200,2,2
r_9_7,19,6,190,90,2,2,2,2,1,2,200,200,1,2
r_9_8,13,3,130,30,2,1,1,1,1,2,70,170,2,1
r_9_9,7,2,150,30,2,1,2,1,1,2,50,220,2,2
r_9_10,18,20,10,170,2,2,2,2,2,1,200,200,2,1
r_10_0,17,3,110,190,2,2,2,2,2,1,200,200,2,1
r_10_1,13,20,190,150,2,2,2,2,1,2,200,200,1,2
r_10_2,9,6,110,150,2,2,2,2,2,1,200,200,2,1
r_10_3,19,21,10,10,1,2,2,2,1,2,200,200,1,2
r_10_4,16,18,10,90,2,2,1,1,2,1,190,110,1,2
r_10_5,8,14,190,130,2,2,2,2,1,2,200,200,1,2
r_10_6,5,15,10,10,1,1,1,1,1,1,190,190,2,2
r_10_7,12,0,110,50,2,2,2,2,2,2,200,200,2,2
r_10_8,10,4,10,130,2,2,1,2,1,1,240,50,1,2
r_10_9,11,1,10,190,2,2,2,2,2,2,200,200,2,2
r_10_10,7,2,50,110,2,2,1,2,1,1,200,50,1,2
r_11_0,21,8,130,170,2,2,2,2,2,1,200,200,2,1
r_11_1,11,14,90,190,1,2,2,2,2,2,200,200,2,2
r_11_2,19,2,190,90,2,2,2,2,1,2,200,200,1,2
r_11_3,6,16,70,170,2,2,2,2,1,2,200,200,1,2
r_11_4,7,10,170,190,2,2,2,2,2,2,200,200,2,2
r_11_5,5,17,50,190,1,2,2,2,2,1,200,200,2,1
r_11_6,18,0,150,130,2,2,2,2,2,2,200,200,2,2
r_11_7,15,20,30,30,1,2,1,1,1,1,170,170,2,2
r_11_8,1,9,70,110,2,2,2,2,2,1,200,200,2,1
r_11_9,13,12,10,170,1,2,1,2,2,1,240,50,2,2
r_11_10,3,4,170,90,2,2,2,1,1,2,50,160,2,2
r_12_0,15,4,130,110,1,2,2,1,1,2,50,140,2,2
r_12_1,6,19,30,150,1,2,2,2,2,2,200,200,2,2
r_12_2,5,8,130,10,2,1,1,1,1,1,70,190,2,2
r_12_3,17,2,90,30,2,1,1,1,1,1,110,170,2,2
r_12_4,11,7,150,70,2,2,2,2,2,2,200,200,2,2
r_12_5,18,21,50,150,2,2,2,2,2,2,200,200,2,2
r_12_6,20,12,170,170,2,2,2,2,2,2,200,200,2,2
r_12_7,14,9,30,90,2,2,2,2,2,1,200,200,2,1
r_12_8,10,3,70,150,2,2,2,2,2,1,200,200,2,1
r_12_9,1,16,110,190,2,2,2,2,2,1,200,200,2,1
r_12_10,13,0,150,90,2,2,2,2,1,2,200,200,1,2
r_13_0,6,1,70,50,2,1,1,2,2,1,180,50,2,2
r_13_1,18,0,90,70,2,2,2,2,2,2,200,200,2,2
r_13_2,14,9,30,10,2,2,2,2,2,1,200,200,2,1
r_13_3,11,4,90,90,1,2,2,1,1,1,50,160,2,1
r_13_4,21,3,150,70,2,1,2,2,2,2,200,200,2,2
r_13_5,7,16,110,90,2,2,2,1,1,1,50,160,2,1
r_13_6,20,19,70,10,2,1,1,1,1,2,130,190,2,1
r_13_7,13,17,50,170,1,2,1,2,2,1,200,50,2,2
r_13_8,12,8,10,90,2,1,1,2,1,1,240,50,1,2
r_13_9,2,15,170,90,2,1,2,2,1,2,200,200,1,2
r_13_10,10,5,30,90,2,2,1,2,1,1,220,50,1,2
r_14_0,11,13,70,110,2,2,2,2,1,1,200,200,1,1
r_14_1,10,9,10,190,2,2,1,2,2,2,240,50,2,1
r_14_2,18,16,10,150,2,2,2,2,2,1,200,200,2,1
r_14_3,8,5,130,130,2,2,2,2,1,1,200,200,1,1
r_14_4,20,2,170,50,2,1,2,1,1,2,50,200,2,2
r_14_5,0,15,90,130,2,1,2,2,2,1,200,200,2,1
r_14_6,1,12,130,50,2,2,2,2,1,1,200,200,1,1
r_14_7,6,17,110,190,2,2,2,2,2,2,200,200,2,2
r_14_8,21,4,130,90,2,2,2,2,2,2,200,200,2,2
r_14_9,19,7,50,190,1,2,2,2,2,1,200,200,2,1
r_14_10,3,14,110,190,2,2,2,2,2,2,200,200,2,2
r_15_0,12,0,130,190,2,2,2,2,2,2,200,200,2,2
r_15_1,1,17,30,50,1,2,2,1,1,1,50,200,2,1
r_15_2,14,7,190,70,2,2,2,2,2,2,200,200,2,2
r_15_3,3,13,130,90,2,1,2,1,1,1,50,160,2,1
r_15_4,4,20,30,190,1,2,1,2,2,1,220,50,2,2
r_15_5,10,9,190,70,2,2,2,2,1,2,200,200,1,2
r_15_6,19,21,190,30,2,2,2,2,2,2,200,200,2,2
r_15_7,16,15,30,50,1,2,1,1,1,1,170,150,2,2
r_15_8,18,6,110,30,2,1,2,2,1,1,200,200,1,1
r_15_9,2,5,110,90,2,2,2,2,1,1,200,200,1,1
r_15_10,8,11,70,130,1,2,1,1,1,2,130,70,2,1
r_16_0,15,8,190,30,2,1,2,1,1,2,50,220,2,2
r_16_1,2,11,130,10,2,2,2,1,1,1,50,240,2,1
r_16_2,4,16,30,30,1,1,1,1,1,1,170,170,2,2
r_16_3,12,5,70,110,2,2,2,2,2,1,200,200,2,1
r_16_4,18,19,170,170,2,2,2,2,2,2,200,200,2,2
r_16_5,14,13,30,130,2,2,2,2,2,1,200,200,2,1
r_16_6,9,17,10,130,2,2,1,2,1,1,240,50,1,2
r_16_7,1,7,130,150,2,2,2,2,2,1,200,200,2,1
r_16_8,20,10,30,10,2,2,1,1,1,1,170,190,2,2
r_16_9,3,0,10,170,1,2,1,2,2,1,240,50,2,2
r_16_10,6,21,10,50,1,2,1,1,1,2,190,150,2,1
r_17_0,13,5,190,50,2,1,2,1,1,2,50,200,2,2
r_17_1,1,8,150,190,2,2,2,2,2,2,200,200,2,2
r_17_2,19,20,10,130,1,2,2,2,2,1,200,200,2,1
r_17_3,17,18,190,30,2,2,2,1,1,2,50,220,2,2
r_17_4,11,9,50,170,1,2,2,2,2,1,200,200,2,1
r_17_5,16,0,90,10,2,2,1,1,1,2,110,190,2,1
r_17_6,3,21,110,50,2,2,2,1,1,2,50,200,2,2
r_17_7,7,14,50,10,2,2,1,1,1,2,150,190,2,1
r_17_8,12,6,130,110,2,2,2,2,2,1,200,200,2,1
r_17_9,4,15,90,30,2,1,1,1,1,1,110,170,2,2
r_17_10,2,10,90,170,2,2,2,2,2,1,200,200,2,1
