,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_553_10,11,16,190,30,2,1,2,2,1,2,200,200,1,2
r_554_0,18,14,30,50,2,2,2,2,1,1,200,200,1,1
r_554_1,11,5,30,150,1,2,2,2,2,1,200,200,2,1
r_554_2,13,20,170,190,2,2,2,2,2,2,200,200,2,2
r_554_3,2,9,30,90,1,2,1,1,1,1,170,110,2,2
r_554_4,21,19,70,70,2,1,2,2,2,2,200,200,2,2
r_554_5,4,16,190,50,2,1,2,1,1,2,50,200,2,2
r_554_6,7,17,70,90,2,2,1,1,1,1,130,110,2,2
r_554_7,6,15,70,50,2,2,2,2,2,1,200,200,2,1
r_554_8,3,10,110,10,2,2,2,1,1,1,50,240,2,1
r_554_9,12,1,70,150,2,2,2,2,2,2,200,200,2,2
r_554_10,0,8,50,30,2,1,2,1,2,1,50,220,1,1
r_555_0,3,14,10,110,1,2,1,2,2,2,240,50,2,1
r_555_1,9,8,130,10,2,1,1,1,2,1,70,190,1,2
r_555_2,18,2,170,90,2,2,2,2,2,2,200,200,2,2
r_555_3,6,17,50,30,1,2,2,1,1,1,50,220,2,1
r_555_4,21,16,10,130,2,2,2,2,2,1,200,200,2,1
r_555_5,10,4,130,130,2,2,2,2,1,2,200,200,1,2
r_555_6,11,13,10,70,2,2,2,2,2,1,200,200,2,1
r_555_7,12,7,50,90,2,2,2,2,1,1,200,200,1,1
r_555_8,15,19,130,150,1,2,2,2,2,1,200,200,2,1
r_555_9,20,1,150,10,2,2,2,1,1,2,50,240,2,2
r_555_10,5,0,70,190,2,2,2,2,2,2,200,200,2,2
r_556_0,4,12,50,50,1,2,1,1,1,2,150,150,2,1
r_556_1,13,20,30,170,1,2,1,2,2,1,220,50,2,2
r_556_2,11,5,50,130,1,2,2,2,2,1,200,200,2,1
r_556_3,10,17,170,50,2,2,2,1,1,2,50,200,2,2
r_556_4,7,8,50,150,2,2,1,2,2,1,200,50,2,2
r_556_5,19,18,110,170,2,2,2,2,2,2,200,200,2,2
r_556_6,9,14,70,10,2,2,2,1,2,2,50,240,1,2
r_556_7,1,6,10,190,2,2,1,2,2,1,240,50,2,2
r_556_8,0,21,110,110,2,2,2,2,2,2,200,200,2,2
r_556_9,15,3,90,150,1,2,2,2,2,1,200,200,2,1
r_556_10,2,16,170,50,2,1,2,1,1,2,50,200,2,2
r_557_0,9,16,190,30,2,1,2,1,1,2,50,220,2,2
r_557_1,18,11,30,30,2,1,2,2,1,1,200,200,1,1
r_557_2,12,15,10,130,2,1,1,2,1,1,240,50,1,2
r_557_3,20,4,30,70,2,2,1,2,2,1,220,50,2,2
r_557_4,0,8,10,70,2,1,1,2,2,1,240,50,2,2
r_557_5,3,10,70,130,1,2,1,2,2,1,180,50,2,2
r_557_6,21,6,70,110,2,2,2,2,2,1,200,200,2,1
r_557_7,19,1,190,110,2,2,2,2,1,2,200,200,1,2
r_557_8,5,7,170,70,2,2,2,2,1,2,200,200,1,2
r_557_9,13,17,170,130,2,2,2,2,1,2,200,200,1,2
r_557_10,2,14,170,190,2,2,2,2,2,2,200,200,2,2
r_558_0,10,7,30,70,2,2,1,2,1,1,220,50,1,2
r_558_1,19,14,10,70,1,2,2,1,2,2,50,180,1,2
r_558_2,16,18,150,190,2,2,2,2,2,2,200,200,2,2
r_558_3,12,1,50,50,2,1,1,2,2,1,200,50,2,2
r_558_4,15,0,90,10,1,2,2,1,1,2,50,240,2,2
r_558_5,6,9,150,190,2,2,2,2,2,2,200,200,2,2
r_558_6,20,3,170,110,2,2,2,2,2,2,200,200,2,2
r_558_7,21,2,170,130,2,2,2,2,2,2,200,200,2,2
r_558_8,5,11,110,10,2,2,2,1,1,1,50,240,2,1
r_558_9,4,8,190,130,2,2,2,2,2,2,200,200,2,2
r_558_10,17,13,130,10,2,1,1,1,1,1,70,190,2,2
r_559_0,12,3,150,130,2,2,2,2,1,2,200,200,1,2
r_559_1,7,20,190,150,2,2,2,2,2,2,200,200,2,2
r_559_2,18,6,30,10,2,1,2,2,1,1,200,200,1,1
r_559_3,10,8,50,50,2,1,1,1,1,1,150,150,2,2
r_559_4,11,15,70,90,2,1,1,2,1,1,180,50,1,2
r_559_5,17,16,130,110,2,2,2,2,2,2,200,200,2,2
r_559_6,21,2,190,170,2,2,2,2,2,2,200,200,2,2
r_559_7,9,13,150,70,2,2,2,2,1,1,200,200,1,1
r_559_8,19,0,30,50,1,2,2,1,1,2,50,200,2,2
r_559_9,4,14,170,150,2,2,2,2,2,2,200,200,2,2
r_559_10,1,5,90,110,2,2,2,2,2,1,200,200,2,1
r_560_0,11,20,90,30,1,2,2,1,1,2,50,220,2,2
r_560_1,9,14,150,90,2,2,2,2,1,2,200,200,1,2
r_560_2,21,3,170,170,2,2,2,2,2,2,200,200,2,2
r_560_3,12,18,10,10,2,2,1,1,1,1,190,190,2,2
r_560_4,10,6,130,150,2,2,2,2,2,1,200,200,2,1
r_560_5,17,1,190,10,2,2,2,1,1,2,50,240,2,2
r_560_6,2,4,70,130,1,2,2,1,1,1,50,120,2,1
r_560_7,13,15,130,70,2,2,2,2,1,1,200,200,1,1
r_560_8,0,19,170,90,2,1,2,2,2,2,200,200,2,2
r_560_9,8,5,150,90,2,2,2,2,1,2,200,200,1,2
r_560_10,16,7,30,90,1,2,1,1,2,1,170,110,1,2
r_561_0,17,2,30,150,2,2,1,2,2,1,220,50,2,2
r_561_1,21,10,150,130,2,2,2,2,2,2,200,200,2,2
r_561_2,18,6,50,170,2,2,2,2,2,2,200,200,2,2
r_561_3,15,0,90,70,1,2,2,1,1,2,50,180,2,2
r_561_4,1,14,130,150,2,2,2,2,2,2,200,200,2,2
r_561_5,4,7,30,190,1,2,1,2,2,1,220,50,2,2
r_561_6,16,8,110,70,2,1,1,1,2,1,90,130,1,2
r_561_7,12,13,150,170,2,2,2,2,2,1,200,200,2,1
r_561_8,11,9,90,90,1,2,2,1,1,1,50,160,2,1
r_561_9,5,3,10,90,1,1,1,1,1,1,190,110,2,2
r_561_10,19,20,190,170,2,2,2,2,2,2,200,200,2,2
r_562_0,0,11,190,110,2,1,2,2,2,2,200,200,2,2
r_562_1,14,2,10,90,2,2,2,2,2,1,200,200,2,1
r_562_2,1,7,30,110,1,2,2,2,2,1,200,200,2,1
r_562_3,19,18,130,150,2,2,2,2,1,2,200,200,1,2
r_562_4,3,5,150,90,2,2,2,1,1,2,50,160,2,2
r_562_5,6,13,110,170,2,2,2,2,1,1,200,200,1,1
r_562_6,17,16,10,170,1,2,1,2,2,1,240,50,2,2
r_562_7,10,21,30,150,2,2,1,2,2,2,220,50,2,1
r_562_8,8,9,190,50,2,2,2,1,1,2,50,200,2,2
r_562_9,12,15,10,90,2,1,1,2,1,1,240,50,1,2
r_562_10,4,20,90,30,2,2,2,1,1,2,50,220,2,2
r_563_0,21,19,70,190,2,2,2,2,2,1,200,200,2,1
r_563_1,5,17,70,150,2,2,2,2,2,1,200,200,2,1
r_563_2,11,8,50,130,1,2,2,2,2,1,200,200,2,1
r_563_3,20,2,10,70,2,1,1,2,2,1,240,50,2,2
r_563_4,9,4,10,30,2,1,1,1,1,1,190,170,2,2
r_563_5,12,14,110,30,2,2,2,1,1,2,50,220,2,2
r_563_6,0,3,30,90,2,1,1,2,2,1,220,50,2,2
r_563_7,16,1,170,190,2,2,2,2,2,2,200,200,2,2
r_563_8,6,10,70,150,2,2,2,2,1,1,200,200,1,1
r_563_9,13,18,150,50,2,2,2,1,1,2,50,200,2,2
r_563_10,15,7,130,90,1,2,2,1,1,1,50,160,2,1
r_564_0,17,9,170,70,2,2,2,1,1,2,50,180,2,2
r_564_1,14,1,30,70,2,2,2,2,2,1,200,200,2,1
r_564_2,5,16,170,50,2,1,2,2,1,2,200,200,1,2
r_564_3,19,2,10,70,1,1,2,1,2,1,50,180,1,1
r_564_4,18,8,170,90,2,1,2,2,2,2,200,200,2,2
r_564_5,7,21,170,110,2,2,2,2,1,2,200,200,1,2
r_564_6,11,4,130,170,2,2,2,2,2,2,200,200,2,2
r_564_7,6,15,30,90,1,1,1,1,1,1,170,110,2,2
r_564_8,10,20,50,70,2,2,1,2,1,1,200,50,1,2
r_564_9,12,0,70,70,2,2,2,2,1,2,200,200,1,2
r_564_10,3,13,150,70,2,2,2,1,1,1,50,180,2,1
r_565_0,13,10,70,110,2,2,2,2,1,1,200,200,1,1
r_565_1,12,11,50,30,2,1,1,1,1,1,150,170,2,2
r_565_2,16,21,70,70,2,2,1,1,2,2,130,130,1,1
r_565_3,0,4,130,10,2,1,2,1,1,2,50,240,2,2
r_565_4,6,1,190,70,2,2,2,2,1,2,200,200,1,2
r_565_5,15,7,110,190,1,2,2,2,2,1,200,200,2,1
r_565_6,2,20,70,30,1,2,2,1,1,2,50,220,2,2
r_565_7,3,14,170,50,2,2,2,1,1,2,50,200,2,2
r_565_8,19,17,10,130,1,2,2,2,2,1,200,200,2,1
r_565_9,5,9,150,10,2,2,2,1,1,2,50,240,2,2
r_565_10,18,8,110,110,2,2,2,2,2,1,200,200,2,1
r_566_0,20,8,10,130,2,2,1,2,2,1,240,50,2,2
r_566_1,6,13,170,150,2,2,2,2,1,2,200,200,1,2
r_566_2,3,18,110,30,2,2,2,1,1,2,50,220,2,2
r_566_3,5,7,190,10,2,1,2,1,1,2,50,240,2,2
r_566_4,14,4,50,130,2,2,2,2,2,1,200,200,2,1
r_566_5,19,16,190,170,2,2,2,2,2,2,200,200,2,2
r_566_6,12,1,50,110,2,2,2,2,2,1,200,200,2,1
r_566_7,21,10,190,30,2,2,2,2,2,2,200,200,2,2
r_566_8,11,2,10,130,2,2,2,2,1,1,200,200,1,1
r_566_9,0,17,170,50,2,2,2,2,2,2,200,200,2,2
r_566_10,15,9,190,50,2,2,2,1,1,2,50,200,2,2
r_567_0,1,16,70,10,2,2,2,1,2,2,50,240,1,2
r_567_1,15,8,190,30,2,1,2,1,1,2,50,220,2,2
r_567_2,6,14,50,50,1,2,2,1,1,2,50,200,2,2
r_567_3,20,2,130,170,2,2,2,2,2,1,200,200,2,1
r_567_4,11,17,190,30,2,2,2,2,1,2,200,200,1,2
r_567_5,0,4,170,70,2,2,2,2,2,2,200,200,2,2
r_567_6,18,21,130,30,2,2,2,2,1,2,200,200,1,2
r_567_7,7,10,30,130,2,2,1,2,1,1,220,50,1,2
r_567_8,3,5,10,10,1,1,1,1,1,1,190,190,2,2
r_567_9,13,9,10,10,1,2,1,1,1,2,190,190,2,1
r_567_10,19,12,30,150,1,2,2,2,2,1,200,200,2,1
r_568_0,2,14,30,150,1,2,1,2,2,1,220,50,2,2
r_568_1,19,17,110,70,2,2,2,2,1,2,200,200,1,2
r_568_2,13,9,90,190,1,2,2,2,2,1,200,200,2,1
r_568_3,1,21,110,110,2,2,2,2,2,2,200,200,2,2
r_568_4,15,8,30,190,1,2,1,2,2,1,220,50,2,2
r_568_5,16,10,190,150,2,2,2,2,2,2,200,200,2,2
r_568_6,3,18,190,70,2,2,2,1,1,2,50,180,2,2
r_568_7,5,11,170,30,2,1,2,1,1,2,50,220,2,2
r_568_8,6,7,10,170,1,2,1,2,2,1,240,50,2,2
r_568_9,12,20,110,170,2,2,2,2,2,2,200,200,2,2
r_568_10,0,4,150,110,2,2,2,2,2,2,200,200,2,2
r_569_0,4,9,70,10,2,2,1,1,1,1,130,190,2,2
r_569_1,12,7,130,90,2,2,2,2,1,1,200,200,1,1
r_569_2,19,14,190,130,2,2,2,2,1,2,200,200,1,2
r_569_3,8,15,30,90,1,1,1,1,1,1,170,110,2,2
r_569_4,5,11,150,130,2,2,2,2,1,2,200,200,1,2
r_569_5,21,1,170,30,2,1,2,2,2,1,200,200,2,1
r_569_6,16,2,50,110,1,2,1,1,1,1,150,90,2,2
r_569_7,20,3,50,150,2,2,1,2,2,1,200,50,2,2
r_569_8,10,17,90,130,2,2,2,2,1,1,200,200,1,1
r_569_9,18,0,30,50,2,2,2,2,1,2,200,200,1,2
r_569_10,13,6,130,10,2,1,1,1,1,1,70,190,2,2
r_570_0,14,20,50,10,2,2,2,2,2,1,200,200,2,1
r_570_1,18,21,190,110,2,2,2,2,2,2,200,200,2,2
r_570_2,13,5,50,70,1,2,1,1,1,1,150,130,2,2
r_570_3,9,7,10,90,2,2,1,2,1,1,240,50,1,2
r_570_4,0,4,190,10,2,1,2,1,1,2,50,240,2,2
r_570_5,17,1,130,10,2,2,2,1,1,2,50,240,2,2
r_570_6,15,10,30,10,1,2,1,1,1,1,170,190,2,2
r_570_7,11,6,150,50,2,1,2,2,1,2,200,200,1,2
r_570_8,2,19,110,70,2,1,1,2,1,2,140,50,1,1
r_570_9,3,16,170,90,2,2,2,1,1,2,50,160,2,2
r_570_10,12,8,170,70,2,1,2,2,1,2,200,200,1,2
r_571_0,16,3,90,190,2,2,1,2,2,1,160,50,2,2
r_571_1,20,0,170,110,2,2,2,2,2,2,200,200,2,2
r_571_2,8,14,50,190,1,2,1,2,2,2,200,50,2,1
r_571_3,1,7,50,170,1,2,2,2,1,1,200,200,1,1
r_571_4,5,2,110,30,2,1,1,1,1,1,90,170,2,2
r_571_5,6,10,130,170,2,2,2,2,1,1,200,200,1,1
r_571_6,4,12,10,110,1,2,1,2,1,1,240,50,1,2
r_571_7,15,17,110,90,1,2,2,1,1,2,50,160,2,2
r_571_8,11,9,90,10,1,2,2,1,2,1,50,240,1,1
r_571_9,18,21,170,10,2,2,2,2,1,2,200,200,1,2
r_571_10,13,19,150,90,2,1,2,2,1,2,200,200,1,2
r_572_0,5,17,130,10,2,1,1,1,1,1,70,190,2,2
r_572_1,15,21,150,50,2,2,2,1,1,2,50,200,2,2
r_572_2,12,14,150,110,2,2,2,2,2,2,200,200,2,2
r_572_3,4,16,90,50,2,1,1,1,1,2,110,150,2,1
r_572_4,3,0,170,10,2,2,2,1,1,2,50,240,2,2
r_572_5,10,6,130,50,2,1,2,1,1,1,50,200,2,1
r_572_6,7,9,30,50,2,2,1,1,1,1,170,150,2,2
r_572_7,11,2,190,50,2,1,2,2,1,2,200,200,1,2
r_572_8,20,13,10,70,2,2,1,2,2,1,240,50,2,2
r_572_9,1,18,150,70,2,2,2,2,2,2,200,200,2,2
r_572_10,19,8,10,90,1,1,2,1,1,1,50,160,2,1
r_573_0,13,21,150,110,2,2,2,2,1,2,200,200,1,2
r_573_1,16,10,190,90,2,2,2,1,2,2,50,160,1,2
r_573_2,20,11,50,30,2,1,1,1,1,1,150,170,2,2
r_573_3,9,4,150,190,2,2,2,2,2,2,200,200,2,2
r_573_4,14,0,50,110,2,2,2,2,2,2,200,200,2,2
r_573_5,19,17,130,90,2,2,2,2,1,2,200,200,1,2
r_573_6,1,7,70,170,2,2,2,2,2,1,200,200,2,1
r_573_7,3,18,10,110,1,2,1,2,2,1,240,50,2,2
r_573_8,6,8,130,170,2,2,2,2,1,1,200,200,1,1
r_573_9,2,12,130,50,2,2,2,1,1,1,50,200,2,1
r_573_10,5,15,10,110,1,1,1,1,1,1,190,90,2,2
r_574_0,15,19,10,50,1,1,1,1,1,1,190,150,2,2
r_574_1,0,7,90,70,2,2,2,2,2,1,200,200,2,1
r_574_2,18,13,50,50,2,1,2,2,1,1,200,200,1,1
r_574_3,8,17,30,110,1,2,1,1,1,1,170,90,2,2
r_574_4,3,12,50,130,1,2,1,2,2,2,200,50,2,1
r_574_5,20,14,30,110,2,2,1,2,2,1,220,50,2,2
r_574_6,16,21,90,190,2,2,1,2,2,2,160,50,2,1
r_574_7,4,9,130,150,2,2,2,2,2,1,200,200,2,1
r_574_8,1,2,70,190,2,2,2,2,2,1,200,200,2,1
r_574_9,11,10,10,30,2,2,2,2,1,1,200,200,1,1
r_574_10,5,6,130,50,2,1,1,2,1,1,120,50,1,2
r_575_0,14,8,90,70,2,1,2,2,2,1,200,200,2,1
r_575_1,12,15,30,110,2,1,1,2,2,1,220,50,2,2
r_575_2,21,4,170,10,2,1,2,2,2,2,200,200,2,2
r_575_3,3,10,50,70,1,2,1,1,1,1,150,130,2,2
r_575_4,19,17,90,30,1,2,2,1,1,1,50,220,2,1
r_575_5,0,2,130,90,2,2,2,2,2,1,200,200,2,1
r_575_6,18,9,30,170,2,2,2,2,2,1,200,200,2,1
r_575_7,16,13,110,50,2,1,1,1,1,1,90,150,2,2
r_575_8,6,11,130,170,2,2,2,2,1,1,200,200,1,1
r_575_9,5,1,150,50,2,1,2,2,1,2,200,200,1,2
r_575_10,7,20,90,90,2,2,1,1,1,2,110,110,2,1
r_576_0,7,6,10,50,1,1,1,1,1,1,190,150,2,2
r_576_1,16,1,190,30,2,1,2,1,1,2,50,220,2,2
r_576_2,11,18,110,130,1,2,2,2,2,2,200,200,2,2
r_576_3,5,14,70,50,2,2,2,2,1,2,200,200,1,2
r_576_4,19,12,70,130,1,2,2,2,2,1,200,200,2,1
r_576_5,9,20,30,170,2,2,1,2,2,1,220,50,2,2
r_576_6,13,21,170,170,2,2,2,2,2,2,200,200,2,2
r_576_7,8,17,150,90,2,2,2,2,1,2,200,200,1,2
r_576_8,10,0,130,50,2,2,2,1,1,2,50,200,2,2
r_576_9,15,3,130,50,1,1,1,1,1,2,70,150,2,1
r_576_10,2,4,150,90,2,2,2,2,1,2,200,200,1,2
r_577_0,14,8,90,50,2,1,2,2,2,1,200,200,2,1
r_577_1,17,1,150,170,2,2,2,2,2,2,200,200,2,2
r_577_2,21,16,70,30,2,1,2,2,2,1,200,200,2,1
r_577_3,9,5,110,190,2,2,2,2,2,1,200,200,2,1
r_577_4,4,18,110,190,2,2,2,2,2,2,200,200,2,2
r_577_5,19,10,170,190,2,2,2,2,2,2,200,200,2,2
r_577_6,6,12,170,190,2,2,2,2,2,2,200,200,2,2
r_577_7,15,13,190,150,2,2,2,2,2,2,200,200,2,2
r_577_8,2,11,190,70,2,2,2,2,1,2,200,200,1,2
r_577_9,3,0,10,170,1,2,1,2,2,1,240,50,2,2
r_577_10,7,20,190,30,2,2,2,1,1,2,50,220,2,2
r_578_0,13,3,150,130,2,2,2,2,1,2,200,200,1,2
r_578_1,12,6,110,150,2,2,2,2,2,1,200,200,2,1
r_578_2,7,19,110,50,2,1,1,1,1,2,90,150,2,1
r_578_3,20,14,70,150,2,2,2,2,2,2,200,200,2,2
r_578_4,4,18,50,70,1,2,1,1,1,1,150,130,2,2
r_578_5,16,11,10,150,2,2,1,2,2,1,240,50,2,2
r_578_6,2,1,10,10,1,2,1,1,1,2,190,190,2,1
r_578_7,10,8,110,170,2,2,2,2,2,1,200,200,2,1
r_578_8,0,15,10,110,2,1,1,2,2,1,240,50,2,2
r_578_9,5,17,90,130,2,2,2,2,1,1,200,200,1,1
r_578_10,9,21,70,10,2,2,2,1,2,2,50,240,1,2
r_579_0,10,16,130,90,2,2,2,2,1,2,200,200,1,2
r_579_1,9,20,70,130,2,2,2,2,1,2,200,200,1,2
r_579_2,8,4,50,190,1,2,1,2,2,1,200,50,2,2
r_579_3,13,21,170,50,2,2,2,1,1,2,50,200,2,2
r_579_4,3,5,10,70,1,2,1,1,1,1,190,130,2,2
r_579_5,17,15,170,170,2,2,2,2,2,2,200,200,2,2
r_579_6,19,1,150,150,2,2,2,2,1,2,200,200,1,2
r_579_7,7,6,70,150,2,2,1,2,2,1,180,50,2,2
r_579_8,18,0,90,190,2,2,2,2,2,2,200,200,2,2
r_579_9,2,12,130,130,2,2,2,2,1,1,200,200,1,1
r_579_10,14,11,10,30,2,1,2,2,1,2,200,200,1,2
r_580_0,13,6,130,30,2,1,1,1,1,1,70,170,2,2
r_580_1,15,0,170,110,2,2,2,2,1,2,200,200,1,2
r_580_2,16,19,150,190,2,2,2,2,2,1,200,200,2,1
r_580_3,14,7,190,50,2,2,2,2,2,2,200,200,2,2
r_580_4,2,9,10,10,1,2,1,1,1,2,190,190,2,1
r_580_5,11,1,70,10,2,2,2,2,1,2,200,200,1,2
r_580_6,8,21,30,50,1,2,1,1,1,2,170,150,2,1
r_580_7,20,5,130,30,2,1,1,1,1,1,70,170,2,2
r_580_8,4,3,110,70,2,1,2,1,1,2,50,180,2,2
r_580_9,17,12,190,90,2,2,2,1,1,2,50,160,2,2
r_580_10,10,18,110,90,2,2,2,2,1,2,200,200,1,2
r_581_0,5,7,70,30,2,2,2,1,1,1,50,220,2,1
r_581_1,0,3,130,90,2,1,2,2,2,2,200,200,2,2
r_581_2,9,20,10,10,2,2,1,1,2,1,190,190,1,2
r_581_3,1,4,10,150,2,2,1,2,2,1,240,50,2,2
r_581_4,18,17,30,150,2,2,2,2,2,1,200,200,2,1
r_581_5,2,13,50,90,1,1,1,1,1,1,150,110,2,2
r_581_6,6,10,110,130,2,2,2,2,1,1,200,200,1,1
r_581_7,19,11,70,110,1,1,1,2,2,1,180,50,2,2
r_581_8,12,21,30,190,2,2,1,2,2,2,220,50,2,1
r_581_9,16,15,190,110,2,1,2,2,1,2,200,200,1,2
r_581_10,8,14,150,170,2,2,2,2,2,2,200,200,2,2
r_582_0,14,0,10,190,2,2,2,2,2,1,200,200,2,1
r_582_1,7,8,190,190,2,2,2,2,2,2,200,200,2,2
r_582_2,5,18,190,190,2,2,2,2,2,2,200,200,2,2
r_582_3,4,21,130,150,2,2,2,2,2,2,200,200,2,2
r_582_4,3,9,90,30,1,2,1,1,1,1,110,170,2,2
r_582_5,12,17,10,30,2,2,1,1,1,1,190,170,2,2
r_582_6,19,2,30,130,1,2,2,2,2,1,200,200,2,1
r_582_7,13,15,50,190,1,2,1,2,2,1,200,50,2,2
r_582_8,6,16,50,130,1,2,2,1,1,1,50,120,2,1
r_582_9,1,11,30,150,1,2,2,2,2,1,200,200,2,1
r_582_10,20,10,190,30,2,2,2,1,1,2,50,220,2,2
r_583_0,1,11,190,190,2,2,2,2,2,2,200,200,2,2
r_583_1,10,2,110,10,2,1,1,1,1,1,90,190,2,2
r_583_2,17,0,10,190,1,2,1,2,2,1,240,50,2,2
r_583_3,21,19,190,90,2,1,2,2,2,2,200,200,2,2
r_583_4,12,7,110,90,2,2,2,2,1,1,200,200,1,1
r_583_5,6,15,50,130,1,1,1,1,1,1,150,70,2,2
r_583_6,4,20,130,10,2,2,2,1,1,2,50,240,2,2
r_583_7,9,13,170,70,2,2,2,2,1,2,200,200,1,2
r_583_8,18,14,110,90,2,2,2,2,2,2,200,200,2,2
r_583_9,16,3,190,110,2,2,2,2,1,2,200,200,1,2
r_583_10,5,8,130,170,2,2,2,2,2,1,200,200,2,1
r_584_0,9,16,10,70,2,2,1,2,1,1,240,50,1,2
r_584_1,6,7,10,70,1,2,1,1,1,1,190,130,2,2
r_584_2,11,4,90,90,1,2,2,1,1,1,50,160,2,1
r_584_3,3,21,130,10,2,2,2,1,1,2,50,240,2,2
r_584_4,20,13,130,130,2,2,2,2,2,1,200,200,2,1
r_584_5,19,18,10,170,1,2,2,2,2,1,200,200,2,1
r_584_6,15,2,150,190,2,2,2,2,2,2,200,200,2,2
r_584_7,1,10,130,150,2,2,2,2,2,1,200,200,2,1
r_584_8,8,12,50,10,1,2,1,1,1,2,150,190,2,1
r_584_9,5,17,110,130,2,2,2,2,1,2,200,200,1,2
r_584_10,14,0,150,190,2,2,2,2,2,2,200,200,2,2
r_585_0,0,8,50,190,2,2,2,2,2,1,200,200,2,1
r_585_1,2,18,130,150,2,2,2,2,2,2,200,200,2,2
r_585_2,20,13,150,50,2,1,2,1,1,2,50,200,2,2
r_585_3,1,9,110,130,2,2,2,2,2,1,200,200,2,1
r_585_4,15,3,150,50,2,1,2,1,1,2,50,200,2,2
r_585_5,11,10,10,30,2,2,2,2,1,1,200,200,1,1
r_585_6,12,14,190,70,2,2,2,2,1,2,200,200,1,2
r_585_7,4,19,110,90,2,1,2,2,1,2,200,200,1,2
r_585_8,7,6,130,130,2,2,2,2,1,1,200,200,1,1
r_585_9,5,17,70,50,2,2,2,2,1,1,200,200,1,1
r_585_10,16,21,150,30,2,2,2,1,1,2,50,220,2,2
r_586_0,6,10,30,150,1,2,2,2,2,1,200,200,2,1
r_586_1,1,0,90,10,2,2,2,1,2,2,50,240,1,2
r_586_2,3,17,30,190,1,2,1,2,2,1,220,50,2,2
r_586_3,20,14,30,170,2,2,1,2,2,1,220,50,2,2
r_586_4,15,7,130,170,1,2,2,2,2,1,200,200,2,1
r_586_5,5,12,150,170,2,2,2,2,2,2,200,200,2,2
r_586_6,8,2,90,50,1,1,1,1,1,1,110,150,2,2
r_586_7,18,19,10,10,2,1,2,2,1,1,200,200,1,1
r_586_8,4,9,90,70,2,2,2,1,1,1,50,180,2,1
r_586_9,13,16,90,50,1,1,1,1,1,2,110,150,2,1
r_586_10,21,11,30,70,2,2,2,2,2,1,200,200,2,1
r_587_0,13,21,50,110,1,2,1,1,1,2,150,90,2,1
r_587_1,11,4,30,50,1,1,1,1,1,1,170,150,2,2
r_587_2,19,8,170,110,2,2,2,2,1,2,200,200,1,2
r_587_3,18,5,90,110,2,2,2,2,2,1,200,200,2,1
r_587_4,7,10,130,70,2,2,2,1,1,1,50,180,2,1
r_587_5,17,15,170,30,2,1,2,1,1,2,50,220,2,2
r_587_6,14,2,150,110,2,2,2,2,2,2,200,200,2,2
r_587_7,6,3,170,50,2,1,2,2,2,2,200,200,2,2
r_587_8,16,0,90,30,2,2,1,1,1,2,110,170,2,1
r_587_9,12,1,170,30,2,1,2,1,1,1,50,220,2,1
r_587_10,20,9,190,70,2,2,2,2,2,2,200,200,2,2
r_588_0,17,2,70,150,2,2,1,2,2,1,180,50,2,2
r_588_1,8,11,90,30,1,1,1,1,1,1,110,170,2,2
r_588_2,13,5,110,130,2,2,2,2,1,1,200,200,1,1
r_588_3,1,21,170,150,2,2,2,2,2,2,200,200,2,2
r_588_4,18,16,70,50,2,1,2,2,1,1,200,200,1,1
r_588_5,4,15,70,150,2,2,1,2,2,1,180,50,2,2
r_588_6,19,6,30,50,1,1,1,1,1,1,170,150,2,2
r_588_7,20,9,110,50,2,2,2,1,1,1,50,200,2,1
r_588_8,12,0,110,150,2,2,2,2,2,2,200,200,2,2
r_588_9,10,3,50,150,2,2,1,2,2,1,200,50,2,2
r_588_10,7,14,170,50,2,2,2,1,1,2,50,200,2,2
r_589_0,15,17,150,170,2,2,2,2,2,2,200,200,2,2
r_589_1,16,21,110,90,2,2,2,1,2,2,50,160,1,2
r_589_2,11,20,90,70,1,2,2,1,1,2,50,180,2,2
r_589_3,7,10,170,190,2,2,2,2,2,2,200,200,2,2
r_589_4,13,0,70,110,2,2,2,2,1,2,200,200,1,2
r_589_5,1,4,110,190,2,2,2,2,2,2,200,200,2,2
r_589_6,19,6,70,70,1,2,2,1,2,1,50,180,1,1
r_589_7,2,3,10,90,1,1,1,1,1,1,190,110,2,2
r_589_8,5,8,70,170,2,2,2,2,2,1,200,200,2,1
r_589_9,12,9,170,50,2,2,2,2,2,2,200,200,2,2
r_589_10,18,14,70,190,2,2,2,2,2,2,200,200,2,2
r_590_0,20,2,30,130,2,2,1,2,2,1,220,50,2,2
r_590_1,12,16,10,90,2,2,1,2,1,1,240,50,1,2
r_590_2,7,9,50,130,2,2,1,2,1,1,200,50,1,2
r_590_3,0,1,170,10,2,2,2,1,1,2,50,240,2,2
r_590_4,4,18,130,130,2,2,2,2,2,2,200,200,2,2
r_590_5,3,17,50,90,1,2,1,1,1,1,150,110,2,2
r_590_6,5,11,70,110,2,1,1,2,1,1,180,50,1,2
r_590_7,6,13,150,190,2,2,2,2,2,1,200,200,2,1
r_590_8,15,10,190,190,2,2,2,2,2,2,200,200,2,2
r_590_9,14,21,70,90,2,2,2,2,2,2,200,200,2,2
r_590_10,19,8,70,110,1,2,2,2,2,1,200,200,2,1
r_591_0,1,8,110,110,2,2,2,2,2,1,200,200,2,1
