,control_actions,control_pred,treatment_actions_a,treatment_actions_b,treatment_pred_a,treatment_pred_b
control_actions,1.0,0.45008218607479966,0.0014942356931778177,0.09991197208958548,0.0007609326938809249,0.02100628538199258
control_pred,0.45008218607479966,1.0,0.00010584636448544647,0.3692461948748287,6.30379433120994e-05,0.003565477526526851
treatment_actions_a,0.0014942356931778177,0.00010584636448544647,1.0,3.4777958591719226e-06,0.583997780131855,0.7693358279262664
treatment_actions_b,0.09991197208958548,0.3692461948748287,3.4777958591719226e-06,1.0,2.6380658207141583e-06,0.00039635334588303554
treatment_pred_a,0.0007609326938809249,6.30379433120994e-05,0.583997780131855,2.6380658207141583e-06,1.0,0.4853877300005812
treatment_pred_b,0.02100628538199258,0.003565477526526851,0.7693358279262664,0.00039635334588303554,0.4853877300005812,1.0
